,ORDER_NO,PRODUCT_CODE,ORDER_TYPE,TRANSFER_TYPE,MAIN_SOURCE,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_DATE,PENDING_TRANSACTION_TYPE,average_days,NEXT_TRXN_DATE_FORECAST
0,2024-3-525   ,2H7853309D,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-01-19,Faturalandırıldı,10.5,2024-02-14
1,2024-8-532   ,3G0827469JGFOD,Stok,Kamyon,VOLKSWAGEN A.G.,536237005.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.0,2024-03-18
2,2024-11-621  ,5H0941699D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,1.0,2024-03-14
3,2024-10-629  ,5JA955425,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,2.0,2024-03-12
4,2024-9-532   ,7E0827025AK,Stok,Kamyon,VOLKSWAGEN A.G.,536094294.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.0,2024-03-18
5,2024-2-531   ,G  055025A2,Stok,Kamyon,VOLKSWAGEN A.G.,532435452.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-02-02,DS Depo Kabul - Yerleştirme Alanına,4.0,2024-02-12
6,2024-8-575   ,N  10623701,Stok,Kamyon,VOLKSWAGEN A.G.,536236792.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.42857142857142855,2024-03-19
7,2024-3-37    ,2175721,Stok,Kamyon,SCANIA CV AB,535457053.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-08,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-10
8,2024-4-17    ,2175721,Stok,Kamyon,SCANIA CV AB,535480420.0000000000,DS Depo Kabul - Yerleştirme Aracına,2024-03-08,DS Depo Kabul - Yerleştirme Alanına,1.0,2024-03-11
9,2024-9-501   ,5F0035397,Stok,Kamyon,SEAT,1.0000000000,Sipariş,2024-02-26,Faturalandırıldı,9.0,2024-03-19
10,2024-7-302   ,5F0941701D,Acil,Kamyon,SEAT,1.0000000000,Sipariş,2024-02-12,Faturalandırıldı,9.0,2024-03-05
11,2024-11-14   ,5FG061500  041,Çok Acil,Express Uçak,SEAT,1.0000000000,Sipariş,2024-03-13,Faturalandırıldı,2.6,2024-03-19
12,2024-9-535   ,04E145933AL,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-12,Fatura Antrepo girişi,1.6,2024-03-16
13,2024-9-535   ,04E145933AL,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-12,Gönderildi,0.0,2024-03-12
14,2024-3-831   ,04L121026AF,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,6.0,2024-02-21
15,2024-11-648  ,04L260849AB,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
16,2024-9-755   ,2HJ901100,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-28,Faturalandırıldı,6.5,2024-03-15
17,2024-9-538   ,2K5951221A,Stok,Kamyon,VOLKSWAGEN A.G.,536094064.0000000000,Fatura Antrepo girişi,2024-03-15,Beyanname ile Antrepo çıkışı,1.6666666666666667,2024-03-19
18,2024-5-845   ,2Q1423510BQ,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,3.0,2024-02-13
19,2024-11-654  ,5C6810971D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
20,2024-6-644   ,6C0945095K,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-08,Faturalandırıldı,3.0,2024-02-15
21,2024-7-677   ,6C0945095K,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-16,Faturalandırıldı,3.0,2024-02-23
22,2024-11-637  ,8U0955609,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.25,2024-03-19
23,2024-11-8    ,5FA807962  9DG,Çok Acil,Express Uçak,SEAT,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,3.0,2024-03-19
24,2024-10-525  ,03H133237B,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.0,2024-03-14
25,2024-9-538   ,04E906262BE,Stok,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-08,Fatura Antrepo girişi,4.75,2024-03-19
26,2024-8-555   ,1K0253141H,Stok,Kamyon,VOLKSWAGEN A.G.,536236911.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.5,2024-03-19
27,2024-10-629  ,2Q0411315C,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,3.0,2024-03-14
28,2024-8-574   ,4K0413333B,Stok,Kamyon,VOLKSWAGEN A.G.,536236702.0000000000,DS Depo Kabul - Fiktif Alandan Giriş Alanına Transfer,2024-03-18,DS Depo Kabul - Yerleştirme Aracına,0.5,2024-03-19
29,2024-8-616   ,5H0853677F 9B9,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-02-19,Faturalandırıldı,4.0,2024-02-29
30,2024-11-635  ,5H0857521D,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-14,Faturalandırıldı,2.0,2024-03-19
31,2024-10-518  ,5WA698451G,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-07,Faturalandırıldı,4.4,2024-03-18
32,2024-9-636   ,6R0810971C,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,5.666666666666667,2024-03-19
